Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,94029,1909,8,11.3,Y
IDCJAC0002,94029,1909,9,14.8,Y
IDCJAC0002,94029,1909,10,17.1,Y
IDCJAC0002,94029,1909,11,19.9,Y
IDCJAC0002,94029,1909,12,19.3,Y
IDCJAC0002,94029,1910,1,21.2,Y
IDCJAC0002,94029,1910,2,23,Y
IDCJAC0002,94029,1910,3,20.8,Y
IDCJAC0002,94029,1910,4,19.3,Y
IDCJAC0002,94029,1910,5,14.8,Y
IDCJAC0002,94029,1910,6,11.4,Y
IDCJAC0002,94029,1910,7,10.8,Y
IDCJAC0002,94029,1910,8,13.9,Y
IDCJAC0002,94029,1910,9,15.2,Y
IDCJAC0002,94029,1910,10,16.1,Y
IDCJAC0002,94029,1910,11,20.4,Y
IDCJAC0002,94029,1910,12,19.6,Y
IDCJAC0002,94029,1911,1,21.3,Y
IDCJAC0002,94029,1911,2,22.7,Y
IDCJAC0002,94029,1911,3,19.7,Y
IDCJAC0002,94029,1911,4,16.4,Y
IDCJAC0002,94029,1911,5,14.6,Y
IDCJAC0002,94029,1911,6,10.8,Y
IDCJAC0002,94029,1911,7,11,Y
IDCJAC0002,94029,1911,8,10.3,Y
IDCJAC0002,94029,1911,9,14.3,Y
IDCJAC0002,94029,1911,10,17.2,Y
IDCJAC0002,94029,1911,11,19.2,Y
IDCJAC0002,94029,1911,12,18.3,Y
IDCJAC0002,94029,1912,1,21.4,Y
IDCJAC0002,94029,1912,2,23.4,Y
IDCJAC0002,94029,1912,3,19.5,Y
IDCJAC0002,94029,1912,4,15.9,Y
IDCJAC0002,94029,1912,5,14.3,Y
IDCJAC0002,94029,1912,6,12.3,Y
IDCJAC0002,94029,1912,7,10.4,Y
IDCJAC0002,94029,1912,8,13.6,Y
IDCJAC0002,94029,1912,9,14.6,Y
IDCJAC0002,94029,1912,10,16,Y
IDCJAC0002,94029,1912,11,17.7,Y
IDCJAC0002,94029,1912,12,20.9,Y
IDCJAC0002,94029,1913,1,21.3,Y
IDCJAC0002,94029,1913,2,21.8,Y
IDCJAC0002,94029,1913,3,18,Y
IDCJAC0002,94029,1913,4,18.1,Y
IDCJAC0002,94029,1913,5,13.1,Y
IDCJAC0002,94029,1913,6,11.1,Y
IDCJAC0002,94029,1913,7,12.3,Y
IDCJAC0002,94029,1913,8,12.4,Y
IDCJAC0002,94029,1913,9,14.6,Y
IDCJAC0002,94029,1913,10,18.2,Y
IDCJAC0002,94029,1913,11,16.2,Y
IDCJAC0002,94029,1913,12,20.7,Y
IDCJAC0002,94029,1914,1,21.4,Y
IDCJAC0002,94029,1914,2,22.2,Y
IDCJAC0002,94029,1914,3,20.6,Y
IDCJAC0002,94029,1914,4,16.3,Y
IDCJAC0002,94029,1914,5,14.8,Y
IDCJAC0002,94029,1914,6,12.7,Y
IDCJAC0002,94029,1914,7,10.7,Y
IDCJAC0002,94029,1914,8,14.1,Y
IDCJAC0002,94029,1914,9,15.5,Y
IDCJAC0002,94029,1914,10,19.3,Y
IDCJAC0002,94029,1914,11,18.8,Y
IDCJAC0002,94029,1914,12,18.1,Y
IDCJAC0002,94029,1915,1,21.2,Y
IDCJAC0002,94029,1915,2,21.8,Y
IDCJAC0002,94029,1915,3,19,Y
IDCJAC0002,94029,1915,4,17.2,Y
IDCJAC0002,94029,1915,5,14,Y
IDCJAC0002,94029,1915,6,11.8,Y
IDCJAC0002,94029,1915,7,11.5,Y
IDCJAC0002,94029,1915,8,12.9,Y
IDCJAC0002,94029,1915,9,15.3,Y
IDCJAC0002,94029,1915,10,16.3,Y
IDCJAC0002,94029,1915,11,16.7,Y
IDCJAC0002,94029,1915,12,20.3,Y
IDCJAC0002,94029,1916,1,21.2,Y
IDCJAC0002,94029,1916,2,20.6,Y
IDCJAC0002,94029,1916,3,19.8,Y
IDCJAC0002,94029,1916,4,16.4,Y
IDCJAC0002,94029,1916,5,13.9,Y
IDCJAC0002,94029,1916,6,11.4,Y
IDCJAC0002,94029,1916,7,11.3,Y
IDCJAC0002,94029,1916,8,12.6,Y
IDCJAC0002,94029,1916,9,14.2,Y
IDCJAC0002,94029,1916,10,16.3,Y
IDCJAC0002,94029,1916,11,16.3,Y
IDCJAC0002,94029,1916,12,19.6,Y
IDCJAC0002,94029,1917,1,20.9,Y
IDCJAC0002,94029,1917,2,19.9,Y
IDCJAC0002,94029,1917,3,18.5,Y
IDCJAC0002,94029,1917,4,15.9,Y
IDCJAC0002,94029,1917,5,12.9,Y
IDCJAC0002,94029,1917,6,11.6,Y
IDCJAC0002,94029,1917,7,11.5,Y
IDCJAC0002,94029,1917,8,13.8,Y
IDCJAC0002,94029,1917,9,14.8,Y
IDCJAC0002,94029,1917,10,16.5,Y
IDCJAC0002,94029,1917,11,19.1,Y
IDCJAC0002,94029,1917,12,21.2,Y
IDCJAC0002,94029,1918,1,21.2,Y
IDCJAC0002,94029,1918,2,22.2,Y
IDCJAC0002,94029,1918,3,20.3,Y
IDCJAC0002,94029,1918,4,15.5,Y
IDCJAC0002,94029,1918,5,14.9,Y
IDCJAC0002,94029,1918,6,11.9,Y
IDCJAC0002,94029,1918,7,11.5,Y
IDCJAC0002,94029,1918,8,13.6,Y
IDCJAC0002,94029,1918,9,15.5,Y
IDCJAC0002,94029,1918,10,14.9,Y
IDCJAC0002,94029,1918,11,17.8,Y
IDCJAC0002,94029,1918,12,20.6,Y
IDCJAC0002,94029,1919,1,20.8,Y
IDCJAC0002,94029,1919,2,22.2,Y
IDCJAC0002,94029,1919,3,19.5,Y
IDCJAC0002,94029,1919,4,18.7,Y
IDCJAC0002,94029,1919,5,14.3,Y
IDCJAC0002,94029,1919,6,12.2,Y
IDCJAC0002,94029,1919,7,11.3,Y
IDCJAC0002,94029,1919,8,12.8,Y
IDCJAC0002,94029,1919,9,15.7,Y
IDCJAC0002,94029,1919,10,18.1,Y
IDCJAC0002,94029,1919,11,20.4,Y
IDCJAC0002,94029,1919,12,22.6,Y
IDCJAC0002,94029,1920,1,20.2,Y
IDCJAC0002,94029,1920,2,22.3,Y
IDCJAC0002,94029,1920,3,20.3,Y
IDCJAC0002,94029,1920,4,17.2,Y
IDCJAC0002,94029,1920,5,14.3,Y
IDCJAC0002,94029,1920,6,11.6,Y
IDCJAC0002,94029,1920,7,12.5,Y
IDCJAC0002,94029,1920,8,13.4,Y
IDCJAC0002,94029,1920,9,15.5,Y
IDCJAC0002,94029,1920,10,18.7,Y
IDCJAC0002,94029,1920,11,18.3,Y
IDCJAC0002,94029,1920,12,21.2,Y
IDCJAC0002,94029,1921,1,22.4,Y
IDCJAC0002,94029,1921,2,21.9,Y
IDCJAC0002,94029,1921,3,20.6,Y
IDCJAC0002,94029,1921,4,17.9,Y
