Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,40913,2018,5,24.8,Y
IDCJAC0002,40913,2018,6,22.6,Y
IDCJAC0002,40913,2018,7,23.2,Y
IDCJAC0002,40913,2018,8,24.3,Y
IDCJAC0002,40913,2018,9,24.9,Y
IDCJAC0002,40913,2018,10,26.1,Y
IDCJAC0002,40913,2018,11,29.8,Y
IDCJAC0002,40913,2018,12,30.1,Y
IDCJAC0002,40913,2019,1,31.9,Y
IDCJAC0002,40913,2019,2,31.6,Y
IDCJAC0002,40913,2019,3,31.2,Y
IDCJAC0002,40913,2019,4,26.9,Y
IDCJAC0002,40913,2019,5,24.9,Y
IDCJAC0002,40913,2019,6,22.8,Y
IDCJAC0002,40913,2019,7,23.5,Y
IDCJAC0002,40913,2019,8,24.1,Y
IDCJAC0002,40913,2019,9,27.4,Y
IDCJAC0002,40913,2019,10,26.8,Y
IDCJAC0002,40913,2019,11,30.6,Y
IDCJAC0002,40913,2019,12,31.9,Y
IDCJAC0002,40913,2020,1,30.9,Y
IDCJAC0002,40913,2020,2,29.9,Y
IDCJAC0002,40913,2020,3,28.7,Y
IDCJAC0002,40913,2020,4,28.7,Y
IDCJAC0002,40913,2020,5,24,Y
IDCJAC0002,40913,2020,6,22.7,Y
IDCJAC0002,40913,2020,7,22.1,Y
IDCJAC0002,40913,2020,8,23.4,Y
IDCJAC0002,40913,2020,9,25.9,Y
IDCJAC0002,40913,2020,10,27.8,Y
IDCJAC0002,40913,2020,11,28.9,Y
IDCJAC0002,40913,2020,12,29.9,Y
IDCJAC0002,40913,2021,1,29.9,Y
IDCJAC0002,40913,2021,2,30,Y
IDCJAC0002,40913,2021,3,28.5,Y
IDCJAC0002,40913,2021,4,26.3,Y
IDCJAC0002,40913,2021,5,23.9,Y
IDCJAC0002,40913,2021,6,21.7,Y
IDCJAC0002,40913,2021,7,21.7,Y
IDCJAC0002,40913,2021,8,23.8,Y
IDCJAC0002,40913,2021,9,25.2,Y
IDCJAC0002,40913,2021,10,28.3,Y
IDCJAC0002,40913,2021,11,27.3,Y
IDCJAC0002,40913,2021,12,29.5,Y
IDCJAC0002,40913,2022,1,29.7,Y
IDCJAC0002,40913,2022,2,29.1,Y
IDCJAC0002,40913,2022,3,29.2,Y
IDCJAC0002,40913,2022,4,27,Y
IDCJAC0002,40913,2022,5,23.8,Y
IDCJAC0002,40913,2022,6,21.3,Y
IDCJAC0002,40913,2022,7,19.9,Y
IDCJAC0002,40913,2022,8,22.4,Y
IDCJAC0002,40913,2022,9,24.3,Y
IDCJAC0002,40913,2022,10,25.8,Y
IDCJAC0002,40913,2022,11,28,Y
IDCJAC0002,40913,2022,12,28.1,Y
IDCJAC0002,40913,2023,1,30,Y
IDCJAC0002,40913,2023,2,30.9,Y
IDCJAC0002,40913,2023,3,30.8,Y
IDCJAC0002,40913,2023,4,27.3,Y
IDCJAC0002,40913,2023,5,24,Y
IDCJAC0002,40913,2023,6,23.3,Y
IDCJAC0002,40913,2023,7,22.6,Y
IDCJAC0002,40913,2023,8,24.5,Y
IDCJAC0002,40913,2023,9,25.9,Y
IDCJAC0002,40913,2023,10,27.5,Y
IDCJAC0002,40913,2023,11,27.9,Y
IDCJAC0002,40913,2023,12,31.6,Y
IDCJAC0002,40913,2024,1,30.7,Y
IDCJAC0002,40913,2024,2,30.8,Y
IDCJAC0002,40913,2024,3,28.4,Y
IDCJAC0002,40913,2024,4,27.4,Y
IDCJAC0002,40913,2024,5,24.1,Y
IDCJAC0002,40913,2024,6,22.6,Y
IDCJAC0002,40913,2024,7,21.4,Y
IDCJAC0002,40913,2024,8,25,Y
IDCJAC0002,40913,2024,9,26.6,Y
IDCJAC0002,40913,2024,10,27.3,Y
IDCJAC0002,40913,2024,11,28.6,Y
IDCJAC0002,40913,2024,12,30.2,Y
IDCJAC0002,40913,2025,1,30.7,Y
IDCJAC0002,40913,2025,2,30.4,Y
IDCJAC0002,40913,2025,3,28.8,Y
IDCJAC0002,40913,2025,4,27.3,Y
IDCJAC0002,40913,2025,5,24.8,Y
IDCJAC0002,40913,2025,6,21.5,Y
IDCJAC0002,40913,2025,7,22.1,Y
IDCJAC0002,40913,2025,8,22.7,Y
IDCJAC0002,40913,2025,9,26,Y
