Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,66214,2024,12,18,17.3,1,Y
IDCJAC0011,66214,2024,4,4,17.4,1,Y
IDCJAC0011,66214,2024,4,6,17.4,1,Y
IDCJAC0011,66214,2024,8,31,17.4,1,Y
IDCJAC0011,66214,2024,3,17,17.5,1,Y
IDCJAC0011,66214,2024,10,24,17.5,1,Y
IDCJAC0011,66214,2024,11,13,17.5,1,Y
IDCJAC0011,66214,2024,12,12,17.5,1,Y
IDCJAC0011,66214,2024,12,19,17.5,1,Y
IDCJAC0011,66214,2024,3,15,17.6,1,Y
IDCJAC0011,66214,2024,3,24,17.6,1,Y
IDCJAC0011,66214,2024,10,20,17.6,1,Y
IDCJAC0011,66214,2024,11,12,17.6,1,Y
IDCJAC0011,66214,2024,11,14,17.6,1,Y
IDCJAC0011,66214,2024,3,18,17.7,1,Y
IDCJAC0011,66214,2024,4,7,17.7,1,Y
IDCJAC0011,66214,2024,11,9,17.7,1,Y
IDCJAC0011,66214,2024,11,15,17.7,1,Y
IDCJAC0011,66214,2024,11,21,17.7,1,Y
IDCJAC0011,66214,2024,12,29,17.7,1,Y
IDCJAC0011,66214,2024,3,29,17.8,1,Y
IDCJAC0011,66214,2024,4,5,17.8,1,Y
IDCJAC0011,66214,2024,4,24,17.8,1,Y
IDCJAC0011,66214,2024,11,11,17.8,1,Y
IDCJAC0011,66214,2024,1,6,17.9,1,Y
IDCJAC0011,66214,2024,2,26,17.9,1,Y
IDCJAC0011,66214,2024,3,6,17.9,1,Y
IDCJAC0011,66214,2024,11,6,17.9,1,Y
IDCJAC0011,66214,2024,4,1,18,1,Y
IDCJAC0011,66214,2024,9,25,18,1,Y
IDCJAC0011,66214,2024,11,23,18,1,Y
IDCJAC0011,66214,2024,11,18,18.2,1,Y
IDCJAC0011,66214,2024,3,26,18.3,1,Y
IDCJAC0011,66214,2024,1,24,18.4,1,Y
IDCJAC0011,66214,2024,2,7,18.4,1,Y
IDCJAC0011,66214,2024,2,11,18.4,1,Y
IDCJAC0011,66214,2024,11,5,18.4,1,Y
IDCJAC0011,66214,2024,1,19,18.5,1,Y
IDCJAC0011,66214,2024,11,4,18.5,1,Y
IDCJAC0011,66214,2024,12,26,18.5,1,Y
IDCJAC0011,66214,2024,1,1,18.6,1,Y
IDCJAC0011,66214,2024,11,16,18.6,1,Y
IDCJAC0011,66214,2024,12,9,18.6,1,Y
IDCJAC0011,66214,2024,2,21,18.8,1,Y
IDCJAC0011,66214,2024,3,3,18.8,1,Y
IDCJAC0011,66214,2024,11,24,18.8,1,Y
IDCJAC0011,66214,2024,2,16,18.9,1,Y
IDCJAC0011,66214,2024,11,25,18.9,1,Y
IDCJAC0011,66214,2024,1,16,19,1,Y
IDCJAC0011,66214,2024,1,23,19,1,Y
IDCJAC0011,66214,2024,1,28,19,1,Y
IDCJAC0011,66214,2024,2,15,19,1,Y
IDCJAC0011,66214,2024,3,12,19,1,Y
IDCJAC0011,66214,2024,3,27,19,1,Y
IDCJAC0011,66214,2024,11,26,19,1,Y
IDCJAC0011,66214,2024,12,2,19,1,Y
IDCJAC0011,66214,2024,4,2,19.1,1,Y
IDCJAC0011,66214,2024,1,15,19.3,1,Y
IDCJAC0011,66214,2024,12,28,19.3,1,Y
IDCJAC0011,66214,2024,1,7,19.5,1,Y
IDCJAC0011,66214,2024,9,7,19.5,1,Y
IDCJAC0011,66214,2024,2,8,19.6,1,Y
IDCJAC0011,66214,2024,2,24,19.6,1,Y
IDCJAC0011,66214,2024,3,19,19.6,1,Y
IDCJAC0011,66214,2024,12,30,19.6,1,Y
IDCJAC0011,66214,2024,2,10,19.7,1,Y
IDCJAC0011,66214,2024,3,9,19.7,1,Y
IDCJAC0011,66214,2024,11,27,19.8,1,Y
IDCJAC0011,66214,2024,12,1,19.8,1,Y
IDCJAC0011,66214,2024,3,10,19.9,1,Y
IDCJAC0011,66214,2024,3,11,19.9,1,Y
IDCJAC0011,66214,2024,12,10,19.9,1,Y
IDCJAC0011,66214,2024,3,7,20,1,Y
IDCJAC0011,66214,2024,3,28,20,1,Y
IDCJAC0011,66214,2024,11,17,20,1,Y
IDCJAC0011,66214,2024,12,11,20,1,Y
IDCJAC0011,66214,2024,1,5,20.1,1,Y
IDCJAC0011,66214,2024,2,12,20.1,1,Y
IDCJAC0011,66214,2024,12,5,20.1,1,Y
IDCJAC0011,66214,2024,2,22,20.2,1,Y
IDCJAC0011,66214,2024,3,14,20.2,1,Y
IDCJAC0011,66214,2024,11,10,20.2,1,Y
IDCJAC0011,66214,2024,1,14,20.3,1,Y
IDCJAC0011,66214,2024,3,4,20.3,1,Y
IDCJAC0011,66214,2024,3,13,20.3,1,Y
IDCJAC0011,66214,2024,12,31,20.3,1,Y
IDCJAC0011,66214,2024,2,1,20.4,1,Y
IDCJAC0011,66214,2024,2,27,20.4,1,Y
IDCJAC0011,66214,2024,2,28,20.4,1,Y
IDCJAC0011,66214,2024,11,30,20.4,1,Y
IDCJAC0011,66214,2024,1,27,20.5,1,Y
IDCJAC0011,66214,2024,11,29,20.5,1,Y
IDCJAC0011,66214,2024,12,22,20.5,1,Y
IDCJAC0011,66214,2024,1,3,20.6,1,Y
IDCJAC0011,66214,2024,1,21,20.6,1,Y
IDCJAC0011,66214,2024,12,3,20.6,1,Y
IDCJAC0011,66214,2024,1,2,20.7,1,Y
IDCJAC0011,66214,2024,1,13,20.7,1,Y
IDCJAC0011,66214,2024,1,4,20.9,1,Y
IDCJAC0011,66214,2024,1,17,21,1,Y
IDCJAC0011,66214,2024,3,8,21,1,Y
IDCJAC0011,66214,2024,3,20,21,1,Y
IDCJAC0011,66214,2024,12,8,21,1,Y
IDCJAC0011,66214,2024,12,14,21,1,Y
IDCJAC0011,66214,2024,12,17,21,1,Y
IDCJAC0011,66214,2024,1,29,21.1,1,Y
IDCJAC0011,66214,2024,11,7,21.1,1,Y
IDCJAC0011,66214,2024,12,13,21.1,1,Y
IDCJAC0011,66214,2024,1,9,21.2,1,Y
IDCJAC0011,66214,2024,1,18,21.2,1,Y
IDCJAC0011,66214,2024,1,22,21.2,1,Y
IDCJAC0011,66214,2024,2,4,21.2,1,Y
IDCJAC0011,66214,2024,2,6,21.2,1,Y
IDCJAC0011,66214,2024,2,17,21.2,1,Y
IDCJAC0011,66214,2024,2,18,21.2,1,Y
IDCJAC0011,66214,2024,12,4,21.3,1,Y
IDCJAC0011,66214,2024,12,23,21.3,1,Y
IDCJAC0011,66214,2024,1,8,21.4,1,Y
IDCJAC0011,66214,2024,1,10,21.4,1,Y
IDCJAC0011,66214,2024,2,13,21.4,1,Y
IDCJAC0011,66214,2024,12,7,21.4,1,Y
IDCJAC0011,66214,2024,12,15,21.5,1,Y
IDCJAC0011,66214,2024,12,27,21.5,1,Y
IDCJAC0011,66214,2024,2,23,21.6,1,Y
IDCJAC0011,66214,2024,1,20,21.7,1,Y
IDCJAC0011,66214,2024,2,2,21.7,1,Y
IDCJAC0011,66214,2024,1,31,21.9,1,Y
IDCJAC0011,66214,2024,2,3,21.9,1,Y
IDCJAC0011,66214,2024,2,14,21.9,1,Y
IDCJAC0011,66214,2024,3,1,21.9,1,Y
IDCJAC0011,66214,2024,12,6,21.9,1,Y
IDCJAC0011,66214,2024,2,19,22.4,1,Y
IDCJAC0011,66214,2024,1,12,22.6,1,Y
IDCJAC0011,66214,2024,1,25,22.6,1,Y
IDCJAC0011,66214,2024,2,29,22.6,1,Y
IDCJAC0011,66214,2024,12,16,22.7,1,Y
IDCJAC0011,66214,2024,1,11,23,1,Y
IDCJAC0011,66214,2024,1,30,23.1,1,Y
IDCJAC0011,66214,2024,11,28,23.3,1,Y
IDCJAC0011,66214,2024,3,2,23.5,1,Y
IDCJAC0011,66214,2024,2,5,23.7,1,Y
IDCJAC0011,66214,2024,1,26,24,1,Y
IDCJAC0011,66214,2024,2,20,,,
IDCJAC0011,66214,2024,11,22,,,
