Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,40913,2024,4,17,27.3,1,Y
IDCJAC0010,40913,2024,9,7,27.3,1,Y
IDCJAC0010,40913,2024,11,24,27.3,1,N
IDCJAC0010,40913,2024,4,10,27.2,1,Y
IDCJAC0010,40913,2024,9,8,27.2,1,Y
IDCJAC0010,40913,2024,9,12,27.2,1,Y
IDCJAC0010,40913,2024,10,12,27.2,1,Y
IDCJAC0010,40913,2024,10,15,27.1,1,Y
IDCJAC0010,40913,2024,10,28,27.1,1,Y
IDCJAC0010,40913,2024,11,30,27.1,1,N
IDCJAC0010,40913,2024,8,25,27,1,Y
IDCJAC0010,40913,2024,9,26,27,1,Y
IDCJAC0010,40913,2024,3,22,26.9,1,Y
IDCJAC0010,40913,2024,10,20,26.9,1,Y
IDCJAC0010,40913,2024,10,30,26.9,1,Y
IDCJAC0010,40913,2024,9,22,26.8,1,Y
IDCJAC0010,40913,2024,9,24,26.8,1,Y
IDCJAC0010,40913,2024,10,27,26.8,1,Y
IDCJAC0010,40913,2024,3,27,26.7,1,Y
IDCJAC0010,40913,2024,9,15,26.7,1,Y
IDCJAC0010,40913,2024,11,16,26.7,1,N
IDCJAC0010,40913,2024,5,14,26.6,1,Y
IDCJAC0010,40913,2024,11,23,26.6,1,N
IDCJAC0010,40913,2024,3,21,26.4,1,Y
IDCJAC0010,40913,2024,4,30,26.4,1,Y
IDCJAC0010,40913,2024,5,5,26.4,1,Y
IDCJAC0010,40913,2024,8,24,26.4,1,Y
IDCJAC0010,40913,2024,4,18,26.3,1,Y
IDCJAC0010,40913,2024,4,23,26.3,1,Y
IDCJAC0010,40913,2024,4,5,26.2,1,Y
IDCJAC0010,40913,2024,5,6,26.2,1,Y
IDCJAC0010,40913,2024,9,10,26.2,1,Y
IDCJAC0010,40913,2024,4,28,26.1,1,Y
IDCJAC0010,40913,2024,9,11,26.1,1,Y
IDCJAC0010,40913,2024,10,1,26.1,1,Y
