Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,86338,2024,9,9,17.6,1,N
IDCJAC0010,86338,2024,10,20,17.6,1,Y
IDCJAC0010,86338,2024,8,6,17.5,1,Y
IDCJAC0010,86338,2024,9,21,17.5,1,N
IDCJAC0010,86338,2024,4,20,17.4,1,Y
IDCJAC0010,86338,2024,8,10,17.4,1,Y
IDCJAC0010,86338,2024,11,14,17.4,1,N
IDCJAC0010,86338,2024,9,29,17.3,1,N
IDCJAC0010,86338,2024,10,1,17.2,1,Y
IDCJAC0010,86338,2024,5,3,17.1,1,Y
IDCJAC0010,86338,2024,5,10,17.1,1,Y
IDCJAC0010,86338,2024,5,25,17.1,1,Y
IDCJAC0010,86338,2024,6,6,17.1,1,N
IDCJAC0010,86338,2024,7,22,17.1,1,Y
IDCJAC0010,86338,2024,10,2,17.1,1,Y
IDCJAC0010,86338,2024,10,28,17.1,1,Y
IDCJAC0010,86338,2024,11,19,17.1,1,N
IDCJAC0010,86338,2024,10,12,17,1,Y
IDCJAC0010,86338,2024,4,18,16.9,1,Y
IDCJAC0010,86338,2024,7,7,16.9,1,Y
IDCJAC0010,86338,2024,10,24,16.9,1,Y
IDCJAC0010,86338,2024,6,11,16.8,1,N
IDCJAC0010,86338,2024,6,25,16.8,1,N
IDCJAC0010,86338,2024,6,28,16.8,1,N
IDCJAC0010,86338,2024,9,3,16.8,1,N
IDCJAC0010,86338,2024,10,19,16.8,1,Y
IDCJAC0010,86338,2024,5,14,16.7,1,Y
IDCJAC0010,86338,2024,5,26,16.7,1,Y
IDCJAC0010,86338,2024,10,11,16.7,1,Y
IDCJAC0010,86338,2024,4,3,16.6,1,Y
IDCJAC0010,86338,2024,4,9,16.6,1,Y
IDCJAC0010,86338,2024,4,24,16.6,1,Y
IDCJAC0010,86338,2024,5,2,16.6,1,Y
IDCJAC0010,86338,2024,5,9,16.6,1,Y
IDCJAC0010,86338,2024,6,27,16.6,1,N
IDCJAC0010,86338,2024,7,8,16.6,1,Y
IDCJAC0010,86338,2024,7,21,16.6,1,Y
IDCJAC0010,86338,2024,8,16,16.6,1,Y
IDCJAC0010,86338,2024,11,1,16.6,1,N
IDCJAC0010,86338,2024,4,21,16.4,1,Y
IDCJAC0010,86338,2024,4,29,16.4,1,Y
IDCJAC0010,86338,2024,5,4,16.4,1,Y
IDCJAC0010,86338,2024,5,7,16.4,1,Y
IDCJAC0010,86338,2024,9,19,16.4,1,N
IDCJAC0010,86338,2024,8,1,16.3,1,Y
IDCJAC0010,86338,2024,5,22,16.2,1,Y
IDCJAC0010,86338,2024,6,7,16,1,Y
IDCJAC0010,86338,2024,4,25,15.9,1,Y
IDCJAC0010,86338,2024,5,17,15.8,1,Y
IDCJAC0010,86338,2024,7,24,15.8,1,Y
IDCJAC0010,86338,2024,8,5,15.8,1,Y
IDCJAC0010,86338,2024,8,2,15.7,1,Y
IDCJAC0010,86338,2024,9,27,15.7,1,N
IDCJAC0010,86338,2024,6,10,15.6,1,N
IDCJAC0010,86338,2024,9,13,15.6,1,N
IDCJAC0010,86338,2024,5,19,15.4,1,Y
IDCJAC0010,86338,2024,8,18,15.4,1,Y
IDCJAC0010,86338,2024,10,25,15.4,1,Y
IDCJAC0010,86338,2024,4,26,15.3,1,Y
IDCJAC0010,86338,2024,4,30,15.3,1,Y
IDCJAC0010,86338,2024,8,4,15.3,1,Y
IDCJAC0010,86338,2024,5,23,15.2,1,Y
IDCJAC0010,86338,2024,6,23,15,1,N
IDCJAC0010,86338,2024,8,17,15,1,Y
IDCJAC0010,86338,2024,9,17,15,1,N
IDCJAC0010,86338,2024,7,12,14.8,1,Y
IDCJAC0010,86338,2024,5,20,14.7,1,Y
IDCJAC0010,86338,2024,5,21,14.7,1,Y
IDCJAC0010,86338,2024,6,5,14.7,1,N
IDCJAC0010,86338,2024,6,3,14.6,1,N
IDCJAC0010,86338,2024,6,9,14.6,1,N
IDCJAC0010,86338,2024,7,26,14.5,1,Y
IDCJAC0010,86338,2024,8,3,14.5,1,Y
IDCJAC0010,86338,2024,6,15,14.4,1,N
IDCJAC0010,86338,2024,6,26,14.4,1,N
IDCJAC0010,86338,2024,9,16,14.4,1,N
IDCJAC0010,86338,2024,6,8,14.3,1,N
IDCJAC0010,86338,2024,7,10,14.3,1,Y
IDCJAC0010,86338,2024,9,12,14.3,1,N
IDCJAC0010,86338,2024,9,25,14.3,1,N
IDCJAC0010,86338,2024,10,8,14.2,1,Y
IDCJAC0010,86338,2024,6,1,14,1,N
IDCJAC0010,86338,2024,7,17,14,1,Y
IDCJAC0010,86338,2024,8,8,14,1,Y
IDCJAC0010,86338,2024,5,18,13.9,1,Y
IDCJAC0010,86338,2024,6,2,13.9,1,N
IDCJAC0010,86338,2024,6,17,13.9,1,N
IDCJAC0010,86338,2024,6,20,13.9,1,N
IDCJAC0010,86338,2024,7,30,13.9,1,Y
IDCJAC0010,86338,2024,6,4,13.8,1,N
IDCJAC0010,86338,2024,9,26,13.8,1,N
IDCJAC0010,86338,2024,5,24,13.7,1,Y
IDCJAC0010,86338,2024,7,13,13.7,1,Y
IDCJAC0010,86338,2024,7,25,13.7,1,Y
IDCJAC0010,86338,2024,7,11,13.6,1,Y
IDCJAC0010,86338,2024,7,16,13.6,1,Y
IDCJAC0010,86338,2024,6,24,13.5,1,N
IDCJAC0010,86338,2024,9,2,13.5,1,N
IDCJAC0010,86338,2024,6,16,13.4,1,N
IDCJAC0010,86338,2024,6,22,13.3,1,N
IDCJAC0010,86338,2024,6,21,13.2,1,N
IDCJAC0010,86338,2024,7,9,13.1,1,Y
IDCJAC0010,86338,2024,6,18,13,1,N
IDCJAC0010,86338,2024,9,15,13,1,N
IDCJAC0010,86338,2024,6,12,12.9,1,N
IDCJAC0010,86338,2024,6,19,12.9,1,N
IDCJAC0010,86338,2024,6,29,12.9,1,N
IDCJAC0010,86338,2024,7,2,12.4,1,Y
IDCJAC0010,86338,2024,6,14,12.2,1,N
IDCJAC0010,86338,2024,6,30,12.2,1,N
IDCJAC0010,86338,2024,7,20,12.2,1,Y
IDCJAC0010,86338,2024,7,15,12.1,1,Y
IDCJAC0010,86338,2024,7,18,12.1,1,Y
IDCJAC0010,86338,2024,7,19,12.1,1,Y
IDCJAC0010,86338,2024,7,1,12,1,Y
IDCJAC0010,86338,2024,7,14,12,1,Y
IDCJAC0010,86338,2024,7,4,11.9,1,Y
IDCJAC0010,86338,2024,7,27,11.8,1,Y
IDCJAC0010,86338,2024,7,3,11.7,1,Y
IDCJAC0010,86338,2024,7,28,11.7,1,Y
IDCJAC0010,86338,2024,7,29,11.7,1,Y
IDCJAC0010,86338,2024,7,5,11.4,1,Y
IDCJAC0010,86338,2024,9,14,10.8,1,N
IDCJAC0010,86338,2024,7,6,10.5,1,Y
IDCJAC0010,86338,2024,7,31,10.2,1,Y
IDCJAC0010,86338,2024,6,13,10.1,1,N
