Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,14015,2024,4,23,24.5,1,N
IDCJAC0011,14015,2024,4,26,24.5,1,N
IDCJAC0011,14015,2024,5,15,24.5,1,Y
IDCJAC0011,14015,2024,10,1,24.5,1,N
IDCJAC0011,14015,2024,10,21,24.5,1,N
IDCJAC0011,14015,2024,11,27,24.5,1,N
IDCJAC0011,14015,2024,12,1,24.5,1,N
IDCJAC0011,14015,2024,1,17,24.6,1,N
IDCJAC0011,14015,2024,2,12,24.6,1,N
IDCJAC0011,14015,2024,2,13,24.6,1,N
IDCJAC0011,14015,2024,3,8,24.6,1,N
IDCJAC0011,14015,2024,4,1,24.6,1,N
IDCJAC0011,14015,2024,8,25,24.6,1,N
IDCJAC0011,14015,2024,11,20,24.6,1,N
IDCJAC0011,14015,2024,12,28,24.6,1,N
IDCJAC0011,14015,2024,2,11,24.7,1,N
IDCJAC0011,14015,2024,3,13,24.7,1,N
IDCJAC0011,14015,2024,5,2,24.7,1,Y
IDCJAC0011,14015,2024,5,14,24.7,1,Y
IDCJAC0011,14015,2024,5,25,24.7,1,Y
IDCJAC0011,14015,2024,9,5,24.7,1,N
IDCJAC0011,14015,2024,9,25,24.7,1,N
IDCJAC0011,14015,2024,5,4,24.8,1,Y
IDCJAC0011,14015,2024,10,16,24.8,1,N
IDCJAC0011,14015,2024,12,9,24.8,1,N
IDCJAC0011,14015,2024,12,29,24.8,1,N
IDCJAC0011,14015,2024,1,26,24.9,1,N
IDCJAC0011,14015,2024,4,6,24.9,1,N
IDCJAC0011,14015,2024,4,16,24.9,1,N
IDCJAC0011,14015,2024,5,1,24.9,1,Y
IDCJAC0011,14015,2024,7,27,24.9,1,N
IDCJAC0011,14015,2024,9,4,24.9,1,N
IDCJAC0011,14015,2024,11,14,24.9,1,N
IDCJAC0011,14015,2024,11,24,24.9,1,N
IDCJAC0011,14015,2024,12,14,24.9,1,N
IDCJAC0011,14015,2024,1,29,25,1,N
IDCJAC0011,14015,2024,3,7,25,1,N
IDCJAC0011,14015,2024,4,18,25,1,N
IDCJAC0011,14015,2024,5,5,25,1,Y
IDCJAC0011,14015,2024,5,31,25,1,Y
IDCJAC0011,14015,2024,10,8,25,1,N
IDCJAC0011,14015,2024,10,15,25,1,N
IDCJAC0011,14015,2024,10,26,25,1,N
IDCJAC0011,14015,2024,1,2,25.1,1,N
IDCJAC0011,14015,2024,1,3,25.1,1,N
IDCJAC0011,14015,2024,1,11,25.1,1,N
IDCJAC0011,14015,2024,2,8,25.1,1,N
IDCJAC0011,14015,2024,2,10,25.1,1,N
IDCJAC0011,14015,2024,3,28,25.1,1,N
IDCJAC0011,14015,2024,4,7,25.1,1,N
IDCJAC0011,14015,2024,9,26,25.1,1,N
IDCJAC0011,14015,2024,11,10,25.1,1,N
IDCJAC0011,14015,2024,12,5,25.1,1,N
IDCJAC0011,14015,2024,12,8,25.1,1,N
IDCJAC0011,14015,2024,3,22,25.2,1,N
IDCJAC0011,14015,2024,4,9,25.2,1,N
IDCJAC0011,14015,2024,4,13,25.2,1,N
IDCJAC0011,14015,2024,10,4,25.2,1,N
IDCJAC0011,14015,2024,11,23,25.2,1,N
IDCJAC0011,14015,2024,12,21,25.2,1,N
IDCJAC0011,14015,2024,1,4,25.3,1,N
IDCJAC0011,14015,2024,4,24,25.3,1,N
IDCJAC0011,14015,2024,9,22,25.3,1,N
IDCJAC0011,14015,2024,9,30,25.3,1,N
IDCJAC0011,14015,2024,10,6,25.3,1,N
IDCJAC0011,14015,2024,11,4,25.3,1,N
IDCJAC0011,14015,2024,12,6,25.3,1,N
IDCJAC0011,14015,2024,12,7,25.3,1,N
IDCJAC0011,14015,2024,4,15,25.4,1,N
IDCJAC0011,14015,2024,9,24,25.4,1,N
IDCJAC0011,14015,2024,9,28,25.4,1,N
IDCJAC0011,14015,2024,10,7,25.4,1,N
IDCJAC0011,14015,2024,11,5,25.4,1,N
IDCJAC0011,14015,2024,1,10,25.5,1,N
IDCJAC0011,14015,2024,1,13,25.5,1,N
IDCJAC0011,14015,2024,3,14,25.5,1,N
IDCJAC0011,14015,2024,3,17,25.5,1,N
IDCJAC0011,14015,2024,3,31,25.5,1,N
IDCJAC0011,14015,2024,4,2,25.5,1,N
IDCJAC0011,14015,2024,5,29,25.5,1,Y
IDCJAC0011,14015,2024,10,3,25.5,1,N
IDCJAC0011,14015,2024,10,22,25.5,1,N
IDCJAC0011,14015,2024,11,26,25.5,1,N
IDCJAC0011,14015,2024,12,4,25.5,1,N
IDCJAC0011,14015,2024,1,15,25.6,1,N
IDCJAC0011,14015,2024,10,9,25.6,1,N
IDCJAC0011,14015,2024,11,30,25.6,1,N
IDCJAC0011,14015,2024,12,13,25.6,1,N
IDCJAC0011,14015,2024,12,23,25.6,1,N
IDCJAC0011,14015,2024,1,22,25.7,1,N
IDCJAC0011,14015,2024,3,6,25.7,1,N
IDCJAC0011,14015,2024,3,27,25.7,1,N
IDCJAC0011,14015,2024,4,3,25.7,1,N
IDCJAC0011,14015,2024,9,20,25.7,1,N
IDCJAC0011,14015,2024,10,2,25.7,1,N
IDCJAC0011,14015,2024,10,13,25.7,1,N
IDCJAC0011,14015,2024,11,21,25.7,1,N
IDCJAC0011,14015,2024,4,5,25.8,1,N
IDCJAC0011,14015,2024,9,19,25.8,1,N
IDCJAC0011,14015,2024,10,10,25.8,1,N
IDCJAC0011,14015,2024,11,11,25.8,1,N
IDCJAC0011,14015,2024,11,25,25.8,1,N
IDCJAC0011,14015,2024,11,28,25.8,1,N
IDCJAC0011,14015,2024,12,26,25.8,1,N
IDCJAC0011,14015,2024,1,5,25.9,1,N
IDCJAC0011,14015,2024,3,2,25.9,1,N
IDCJAC0011,14015,2024,4,27,25.9,1,N
IDCJAC0011,14015,2024,10,12,25.9,1,N
IDCJAC0011,14015,2024,10,17,25.9,1,N
IDCJAC0011,14015,2024,10,18,25.9,1,N
IDCJAC0011,14015,2024,12,30,25.9,1,N
IDCJAC0011,14015,2024,1,9,26,1,N
IDCJAC0011,14015,2024,1,14,26,1,N
IDCJAC0011,14015,2024,2,9,26,1,N
IDCJAC0011,14015,2024,2,16,26,1,N
IDCJAC0011,14015,2024,3,3,26,1,N
IDCJAC0011,14015,2024,3,4,26,1,N
IDCJAC0011,14015,2024,3,9,26,1,N
IDCJAC0011,14015,2024,3,25,26,1,N
IDCJAC0011,14015,2024,4,19,26,1,N
IDCJAC0011,14015,2024,9,27,26,1,N
IDCJAC0011,14015,2024,9,29,26,1,N
IDCJAC0011,14015,2024,10,14,26,1,N
IDCJAC0011,14015,2024,10,24,26,1,N
IDCJAC0011,14015,2024,12,11,26,1,N
IDCJAC0011,14015,2024,2,18,26.1,1,N
IDCJAC0011,14015,2024,4,4,26.1,1,N
IDCJAC0011,14015,2024,10,19,26.1,1,N
IDCJAC0011,14015,2024,11,15,26.1,1,N
IDCJAC0011,14015,2024,1,19,26.2,1,N
IDCJAC0011,14015,2024,3,15,26.2,1,N
IDCJAC0011,14015,2024,3,16,26.2,1,N
IDCJAC0011,14015,2024,3,30,26.2,1,N
IDCJAC0011,14015,2024,4,14,26.2,1,N
IDCJAC0011,14015,2024,5,30,26.2,1,Y
IDCJAC0011,14015,2024,1,7,26.3,1,N
IDCJAC0011,14015,2024,2,26,26.3,1,N
IDCJAC0011,14015,2024,4,25,26.3,1,N
IDCJAC0011,14015,2024,9,21,26.3,1,N
IDCJAC0011,14015,2024,10,11,26.3,1,N
IDCJAC0011,14015,2024,12,27,26.3,1,N
IDCJAC0011,14015,2024,1,8,26.4,1,N
IDCJAC0011,14015,2024,11,7,26.4,1,N
IDCJAC0011,14015,2024,1,21,26.5,1,N
IDCJAC0011,14015,2024,3,20,26.5,1,N
IDCJAC0011,14015,2024,5,10,26.5,1,Y
IDCJAC0011,14015,2024,10,25,26.5,1,N
IDCJAC0011,14015,2024,10,30,26.5,1,N
IDCJAC0011,14015,2024,11,6,26.5,1,N
IDCJAC0011,14015,2024,11,8,26.5,1,N
IDCJAC0011,14015,2024,11,9,26.5,1,N
IDCJAC0011,14015,2024,3,1,26.6,1,N
IDCJAC0011,14015,2024,3,10,26.6,1,N
IDCJAC0011,14015,2024,12,10,26.6,1,N
IDCJAC0011,14015,2024,1,16,26.7,1,N
IDCJAC0011,14015,2024,2,20,26.7,1,N
IDCJAC0011,14015,2024,10,28,26.7,1,N
IDCJAC0011,14015,2024,10,29,26.7,1,N
IDCJAC0011,14015,2024,11,17,26.7,1,N
IDCJAC0011,14015,2024,2,1,26.9,1,N
IDCJAC0011,14015,2024,3,5,26.9,1,N
IDCJAC0011,14015,2024,4,17,26.9,1,N
IDCJAC0011,14015,2024,11,16,27,1,N
IDCJAC0011,14015,2024,12,20,27,1,N
IDCJAC0011,14015,2024,1,23,27.1,1,N
IDCJAC0011,14015,2024,10,23,27.1,1,N
IDCJAC0011,14015,2024,2,21,27.2,1,N
IDCJAC0011,14015,2024,2,22,27.2,1,N
IDCJAC0011,14015,2024,3,24,27.2,1,N
IDCJAC0011,14015,2024,3,26,27.2,1,N
IDCJAC0011,14015,2024,1,20,27.3,1,N
IDCJAC0011,14015,2024,2,29,27.3,1,N
IDCJAC0011,14015,2024,3,29,27.3,1,N
IDCJAC0011,14015,2024,10,20,27.4,1,N
IDCJAC0011,14015,2024,2,28,27.5,1,N
IDCJAC0011,14015,2024,11,12,27.5,1,N
IDCJAC0011,14015,2024,11,13,27.5,1,N
IDCJAC0011,14015,2024,1,18,27.6,1,N
IDCJAC0011,14015,2024,2,6,27.6,1,N
IDCJAC0011,14015,2024,12,15,27.6,1,N
IDCJAC0011,14015,2024,12,16,27.6,1,N
IDCJAC0011,14015,2024,2,7,27.7,1,N
IDCJAC0011,14015,2024,12,12,27.7,1,N
IDCJAC0011,14015,2024,1,6,27.8,1,N
IDCJAC0011,14015,2024,10,27,27.8,1,N
IDCJAC0011,14015,2024,2,2,27.9,1,N
IDCJAC0011,14015,2024,2,5,28,1,N
IDCJAC0011,14015,2024,2,23,28,1,N
IDCJAC0011,14015,2024,12,2,28,1,N
IDCJAC0011,14015,2024,2,4,28.1,1,N
IDCJAC0011,14015,2024,2,3,28.2,1,N
IDCJAC0011,14015,2024,2,19,28.3,1,N
IDCJAC0011,14015,2024,3,18,28.4,1,N
IDCJAC0011,14015,2024,3,19,28.6,1,N
IDCJAC0011,14015,2024,2,24,28.9,1,N
IDCJAC0011,14015,2024,12,22,29,1,N
IDCJAC0011,14015,2024,1,1,29.9,1,N
